iter	Passed	Remaining
209	993	3736
210	998	3733
211	1003	3729
212	1008	3725
213	1013	3722
214	1018	3718
215	1023	3714
216	1028	3711
217	1033	3707
218	1037	3701
219	1043	3699
220	1048	3695
221	1053	3690
222	1058	3686
223	1063	3682
224	1067	3678
225	1072	3674
226	1077	3669
227	1082	3665
228	1087	3661
229	1092	3657
230	1098	3656
231	1104	3655
232	1109	3652
233	1114	3648
234	1120	3646
235	1125	3642
236	1130	3638
237	1136	3639
238	1143	3639
239	1148	3636
240	1153	3632
241	1158	3629
242	1164	3626
243	1169	3624
244	1174	3620
245	1180	3617
246	1185	3614
247	1191	3611
248	1196	3608
249	1201	3605
250	1207	3602
251	1212	3599
252	1218	3597
253	1223	3593
254	1229	3591
255	1235	3590
256	1240	3586
257	1246	3585
258	1252	3583
259	1257	3579
260	1262	3575
261	1268	3572
262	1273	3569
263	1278	3565
264	1284	3561
265	1289	3558
266	1294	3554
267	1299	3550
268	1305	3546
269	1310	3543
270	1315	3539
271	1321	3536
272	1326	3532
273	1331	3527
274	1337	3525
275	1343	3523
276	1349	3521
277	1354	3518
278	1360	3514
279	1365	3512
280	1371	3510
281	1377	3508
282	1383	3506
283	1389	3503
284	1395	3500
285	1400	3496
286	1405	3491
287	1410	3486
288	1415	3482
289	1420	3478
290	1425	3473
291	1430	3469
292	1435	3464
293	1441	3461
294	1446	3456
295	1451	3451
296	1456	3448
297	1461	3443
298	1466	3438
299	1471	3434
300	1476	3429
301	1481	3424
302	1486	3420
303	1492	3416
304	1498	3413
305	1503	3410
306	1508	3405
307	1514	3402
308	1520	3400
309	1525	3396
310	1531	3392
311	1536	3387
312	1541	3384
313	1546	3379
314	1552	3375
315	1557	3371
316	1562	3366
317	1568	3363
318	1573	3360
319	1579	3356
320	1584	3351
321	1590	3347
322	1595	3343
323	1600	3339
324	1606	3335
325	1611	3331
326	1616	3327
327	1622	3323
328	1627	3318
329	1632	3314
330	1637	3310
331	1642	3304
332	1648	3301
333	1653	3296
334	1658	3291
335	1663	3287
336	1668	3282
337	1673	3276
338	1678	3272
339	1683	3267
340	1688	3262
341	1693	3258
342	1698	3253
343	1704	3249
344	1709	3245
345	1714	3241
346	1720	3237
347	1725	3233
348	1730	3228
349	1735	3223
350	1740	3218
351	1746	3214
352	1751	3210
353	1756	3204
354	1761	3199
355	1766	3195
356	1771	3190
357	1777	3186
358	1782	3183
359	1788	3178
360	1793	3174
361	1798	3169
362	1803	3164
363	1808	3159
364	1813	3154
365	1818	3150
366	1823	3145
367	1829	3141
368	1834	3136
369	1842	3137
370	1849	3135
371	1854	3130
372	1859	3125
373	1864	3120
374	1869	3116
375	1875	3112
376	1880	3107
377	1886	3103
378	1891	3099
379	1896	3094
380	1902	3090
381	1907	3085
382	1912	3080
383	1917	3076
384	1922	3070
385	1927	3066
386	1932	3061
387	1937	3055
388	1942	3050
389	1946	3045
390	1951	3040
391	1957	3035
392	1962	3030
393	1967	3025
394	1971	3020
395	1976	3015
396	1981	3010
397	1986	3005
398	1991	3000
399	1996	2995
400	2001	2989
401	2006	2985
402	2011	2980
403	2016	2975
404	2021	2970
405	2026	2965
406	2031	2960
407	2038	2957
408	2043	2952
409	2047	2946
410	2052	2941
411	2057	2937
412	2062	2931
413	2067	2926
414	2072	2920
415	2076	2915
416	2081	2910
417	2085	2904
418	2089	2897
419	2094	2892
420	2099	2886
421	2103	2881
422	2109	2877
423	2113	2871
424	2117	2864
425	2121	2858
426	2126	2853
427	2130	2847
428	2134	2841
429	2138	2835
430	2142	2828
431	2146	2822
432	2150	2816
433	2155	2810
434	2159	2804
435	2163	2798
436	2167	2791
437	2170	2785
438	2174	2779
439	2178	2772
440	2182	2766
441	2187	2761
442	2191	2755
443	2195	2749
444	2199	2743
445	2203	2737
446	2207	2731
447	2211	2725
448	2215	2719
449	2219	2712
450	2223	2706
451	2227	2700
452	2231	2695
453	2235	2688
454	2239	2682
455	2244	2677
456	2247	2670
457	2251	2664
458	2256	2659
459	2260	2654
460	2264	2647
461	2268	2642
462	2272	2636
463	2276	2630
464	2280	2624
465	2285	2618
466	2289	2612
467	2294	2607
468	2299	2603
469	2304	2598
470	2308	2592
471	2313	2587
472	2318	2582
473	2324	2579
474	2328	2573
475	2332	2567
476	2336	2562
477	2340	2556
478	2344	2550
479	2348	2544
480	2352	2538
481	2356	2532
482	2360	2526
483	2364	2520
484	2368	2514
485	2372	2508
486	2376	2503
487	2380	2497
488	2384	2491
489	2388	2486
490	2392	2480
491	2396	2474
492	2400	2468
493	2404	2462
494	2408	2457
495	2413	2452
496	2417	2446
497	2421	2441
498	2425	2435
499	2429	2429
500	2433	2424
501	2437	2418
502	2441	2412
503	2445	2406
504	2449	2400
505	2453	2395
506	2457	2389
507	2460	2383
508	2464	2377
509	2468	2371
510	2472	2366
511	2476	2360
512	2480	2355
513	2484	2349
514	2488	2343
515	2492	2337
516	2496	2332
517	2500	2326
518	2504	2321
519	2508	2315
520	2512	2309
521	2515	2303
522	2519	2298
523	2523	2292
524	2527	2287
525	2532	2281
526	2536	2276
527	2539	2270
528	2543	2264
529	2547	2259
530	2551	2253
531	2557	2249
532	2562	2244
533	2566	2239
534	2570	2233
535	2573	2228
536	2578	2222
537	2581	2217
538	2586	2211
539	2590	2206
540	2594	2201
541	2597	2195
542	2601	2189
543	2605	2184
544	2609	2178
545	2613	2173
546	2617	2167
547	2621	2162
548	2625	2156
549	2629	2151
550	2633	2145
551	2637	2140
552	2641	2134
553	2645	2129
554	2649	2123
555	2653	2118
556	2657	2113
557	2661	2108
558	2665	2103
559	2670	2097
560	2674	2093
561	2678	2087
562	2683	2082
563	2688	2078
564	2692	2072
565	2696	2067
566	2701	2062
567	2704	2057
568	2708	2051
569	2712	2046
570	2716	2041
571	2720	2035
572	2724	2029
573	2728	2024
574	2731	2019
575	2735	2013
576	2739	2008
577	2743	2003
578	2747	1997
579	2751	1992
580	2755	1986
581	2759	1981
582	2763	1976
583	2766	1970
584	2770	1965
585	2774	1960
586	2778	1954
587	2782	1949
588	2786	1944
589	2790	1939
590	2794	1933
591	2798	1928
592	2802	1923
593	2806	1918
594	2812	1914
595	2816	1909
596	2820	1904
597	2824	1898
598	2828	1893
599	2832	1888
600	2836	1883
601	2840	1877
602	2844	1872
603	2848	1867
604	2852	1862
605	2855	1856
606	2859	1851
607	2863	1846
608	2867	1841
609	2871	1835
610	2875	1830
611	2879	1825
612	2883	1820
613	2887	1815
614	2891	1810
615	2895	1804
616	2899	1799
617	2903	1794
618	2908	1790
619	2912	1784
620	2916	1779
621	2920	1774
622	2924	1769
623	2928	1764
624	2931	1759
625	2936	1754
626	2939	1748
627	2943	1743
628	2947	1738
629	2951	1733
630	2955	1728
631	2959	1723
632	2962	1717
633	2966	1712
634	2970	1707
635	2974	1702
636	2978	1697
637	2983	1692
638	2987	1687
639	2992	1683
640	2996	1678
641	3001	1673
642	3005	1668
643	3009	1663
644	3013	1658
645	3018	1653
646	3022	1648
647	3026	1643
648	3030	1639
649	3034	1633
650	3038	1629
651	3043	1624
652	3047	1619
653	3051	1614
654	3055	1609
655	3059	1604
656	3063	1599
657	3067	1594
658	3072	1589
659	3077	1585
660	3082	1580
661	3086	1575
662	3090	1571
663	3095	1566
664	3099	1561
665	3104	1556
666	3108	1551
667	3112	1547
668	3116	1542
669	3121	1537
670	3125	1532
671	3129	1527
672	3133	1522
673	3137	1517
674	3142	1512
675	3146	1508
676	3150	1503
677	3154	1498
678	3159	1493
679	3164	1489
680	3168	1484
681	3173	1479
682	3177	1474
683	3181	1470
684	3186	1465
685	3190	1460
686	3194	1455
687	3198	1450
688	3204	1446
689	3208	1441
690	3212	1436
691	3217	1431
692	3221	1427
693	3225	1422
694	3230	1417
695	3234	1412
696	3238	1407
697	3243	1403
698	3248	1398
699	3252	1394
700	3257	1389
701	3262	1384
702	3267	1380
703	3273	1376
704	3278	1371
705	3283	1367
706	3287	1362
707	3291	1357
708	3296	1353
709	3301	1348
710	3305	1343
711	3309	1338
712	3313	1333
713	3318	1329
714	3322	1324
715	3326	1319
716	3330	1314
717	3335	1309
718	3339	1305
719	3343	1300
720	3347	1295
721	3352	1290
722	3356	1286
723	3360	1281
724	3364	1276
725	3369	1271
726	3373	1266
727	3377	1261
728	3381	1257
729	3386	1252
730	3390	1247
731	3394	1242
732	3398	1238
733	3403	1233
734	3408	1228
735	3412	1224
736	3417	1219
737	3421	1214
738	3426	1210
739	3431	1205
740	3436	1201
741	3441	1196
742	3446	1192
743	3451	1187
744	3456	1183
745	3461	1178
746	3466	1174
747	3471	1169
748	3476	1165
749	3481	1160
750	3486	1155
751	3491	1151
752	3496	1146
753	3501	1142
754	3506	1137
755	3510	1133
756	3515	1128
757	3521	1124
758	3525	1119
759	3530	1114
760	3535	1110
761	3540	1105
762	3545	1101
763	3550	1096
764	3555	1092
765	3560	1087
766	3565	1083
767	3570	1078
768	3575	1073
769	3580	1069
770	3585	1065
771	3590	1060
772	3595	1055
773	3600	1051
774	3605	1046
775	3611	1042
776	3617	1038
777	3622	1033
778	3627	1029
779	3632	1024
780	3638	1020
781	3643	1015
782	3649	1011
783	3654	1006
784	3660	1002
785	3666	998
786	3671	993
787	3677	989
788	3683	984
789	3688	980
790	3693	975
791	3698	971
792	3703	966
793	3709	962
794	3714	957
795	3719	953
796	3724	948
797	3730	944
798	3735	939
799	3740	935
800	3746	930
801	3750	925
802	3755	921
803	3761	917
804	3767	912
805	3772	907
806	3777	903
807	3782	898
808	3790	895
809	3796	890
810	3801	885
811	3807	881
812	3812	876
813	3818	872
814	3824	868
815	3830	863
816	3838	859
817	3843	855
818	3849	850
819	3855	846
820	3861	841
821	3868	837
822	3873	833
823	3881	829
824	3886	824
825	3891	819
826	3897	815
827	3902	810
828	3907	805
829	3912	801
830	3918	796
831	3923	792
832	3928	787
833	3933	782
834	3938	778
835	3943	773
836	3949	769
837	3954	764
838	3960	759
839	3965	755
840	3970	750
841	3976	746
842	3984	742
843	3989	737
844	3994	732
845	3999	728
846	4005	723
847	4010	718
848	4015	714
849	4020	709
850	4025	704
851	4030	700
852	4035	695
853	4040	690
854	4046	686
855	4051	681
856	4056	676
857	4061	672
858	4067	667
859	4072	662
860	4077	658
861	4082	653
862	4087	648
863	4093	644
864	4099	639
865	4104	635
866	4109	630
867	4114	625
868	4120	621
869	4126	616
870	4131	611
871	4137	607
872	4143	602
873	4148	598
874	4153	593
875	4159	588
876	4164	584
877	4169	579
878	4175	574
879	4180	570
880	4186	565
881	4191	560
882	4200	556
883	4207	552
884	4213	547
885	4219	542
886	4226	538
887	4231	533
888	4238	529
889	4243	524
890	4249	519
891	4256	515
892	4261	510
893	4267	506
894	4273	501
895	4279	496
896	4285	492
897	4291	487
898	4297	482
899	4303	478
900	4309	473
901	4315	468
902	4320	464
903	4327	459
904	4332	454
905	4338	450
906	4345	445
907	4351	440
908	4356	436
909	4362	431
910	4368	426
911	4374	422
912	4379	417
913	4385	412
914	4391	407
915	4398	403
916	4404	398
917	4410	393
918	4416	389
919	4422	384
920	4428	379
921	4434	375
922	4440	370
923	4447	365
924	4453	361
925	4458	356
926	4464	351
927	4470	346
928	4476	342
929	4482	337
930	4489	332
931	4495	327
932	4501	323
933	4507	318
934	4512	313
935	4518	308
936	4525	304
937	4530	299
938	4536	294
939	4542	289
940	4548	285
941	4554	280
942	4560	275
943	4566	270
944	4572	266
945	4577	261
946	4583	256
947	4589	251
948	4595	246
949	4601	242
950	4606	237
951	4612	232
952	4618	227
953	4623	222
954	4629	218
955	4634	213
956	4640	208
957	4645	203
958	4650	198
959	4656	194
960	4661	189
961	4666	184
962	4672	179
963	4677	174
964	4683	169
965	4690	165
966	4708	160
967	4714	155
968	4720	151
969	4726	146
970	4731	141
971	4737	136
972	4743	131
973	4749	126
974	4759	122
975	4765	117
976	4771	112
977	4778	107
978	4784	102
979	4790	97
980	4796	92
981	4802	88
982	4808	83
983	4814	78
984	4820	73
985	4825	68
986	4831	63
987	4837	58
988	4842	53
989	4848	48
990	4854	44
991	4860	39
992	4865	34
993	4871	29
994	4877	24
995	4883	19
996	4888	14
997	4894	9
998	4899	4
999	4905	0
