iter	RMSE
188	0.472388357
189	0.4720296771
190	0.4713071891
191	0.4707450037
192	0.4702337835
193	0.4698057118
194	0.4694582914
195	0.4691269023
196	0.4686762434
197	0.4682176221
198	0.4678633644
199	0.4675284247
200	0.4671062646
201	0.4667698795
202	0.4664669634
203	0.4662487257
204	0.4659751109
205	0.4656135361
206	0.4651562147
207	0.4647351665
208	0.4643544283
209	0.4641363855
210	0.4637450748
211	0.4633919209
212	0.4631030674
213	0.4628118656
214	0.4625683049
215	0.4621592812
216	0.4617360782
217	0.4614789223
218	0.4612112075
219	0.4608945998
220	0.4605729059
221	0.4602641315
222	0.459756752
223	0.4595363172
224	0.4591979119
225	0.4588698791
226	0.4586257112
227	0.4579195789
228	0.4575912112
229	0.4573445387
230	0.4570651128
231	0.4567768332
232	0.4564884741
233	0.4563020153
234	0.4559543491
235	0.4557565794
236	0.4549329449
237	0.4546795225
238	0.4543940786
239	0.4541761314
240	0.4537812829
241	0.4532257566
242	0.4529733123
243	0.4526729212
244	0.4524083698
245	0.4521592645
246	0.4518983659
247	0.4517293917
248	0.4514327195
249	0.4511203082
250	0.4508429641
251	0.4505156204
252	0.4502772032
253	0.4501032358
254	0.44969051
255	0.4489630621
256	0.4486298345
257	0.4483326305
258	0.4479514971
259	0.44768836
260	0.4471797805
261	0.4469104983
262	0.4466407808
263	0.446371959
264	0.4460429641
265	0.4459043054
266	0.4456411839
267	0.4453511573
268	0.4450731892
269	0.4446968422
270	0.4444345998
271	0.4440919392
272	0.4436732041
273	0.4433430308
274	0.4430504796
275	0.4427864638
276	0.442200124
277	0.4420167786
278	0.4417362505
279	0.4414823789
280	0.4412394168
281	0.4407559604
282	0.440501393
283	0.4403462363
284	0.4400691687
285	0.4398084883
286	0.439508936
287	0.4392786693
288	0.4388434607
289	0.4386020248
290	0.4383246494
291	0.438100059
292	0.4378901283
293	0.4376938847
294	0.4374176878
295	0.4372346857
296	0.436793553
297	0.436586041
298	0.4363538274
299	0.4361306456
300	0.4358479808
301	0.4355622356
302	0.4354082937
303	0.4349663363
304	0.4347816624
305	0.4345592536
306	0.4343247922
307	0.4341157391
308	0.4339047767
309	0.4336172494
310	0.4333811932
311	0.4329717954
312	0.4326484216
313	0.4324887101
314	0.4322466408
315	0.4320336408
316	0.4318861877
317	0.4317162883
318	0.4314233488
319	0.431129039
320	0.4308538281
321	0.430459989
322	0.4301721414
323	0.4299937276
324	0.4297423364
325	0.4293911857
326	0.4291595693
327	0.4288643449
328	0.4286635796
329	0.42843376
330	0.4282251635
331	0.4280301651
332	0.4277046522
333	0.4274482116
334	0.4271084157
335	0.4268754546
336	0.4265673478
337	0.4263821155
338	0.426141431
339	0.4259655425
340	0.4256939174
341	0.4255530323
342	0.4253788058
343	0.4250602584
344	0.4248265396
345	0.42453032
346	0.4243044896
347	0.4241061699
348	0.4238791782
349	0.4236805194
350	0.423501908
351	0.4233446497
352	0.4228936852
353	0.4227728091
354	0.4225758131
355	0.4223979786
356	0.4221726701
357	0.4219499703
358	0.4217073678
359	0.4215236987
360	0.4212692565
361	0.4209495369
362	0.4208152354
363	0.4205838452
364	0.4203217243
365	0.4201049348
366	0.4199180367
367	0.419667352
368	0.4195493008
369	0.419417454
370	0.4192520586
371	0.4191062728
372	0.4188882006
373	0.4185844989
374	0.4183603889
375	0.4180015614
376	0.417812258
377	0.4176983817
378	0.4175661737
379	0.417396374
380	0.4171631902
381	0.4169620194
382	0.4167627003
383	0.4165475299
384	0.4164081104
385	0.4161366971
386	0.4159146807
387	0.4157019158
388	0.4155465901
389	0.4153891399
390	0.4151407848
391	0.4149678207
392	0.4147992365
393	0.414593987
394	0.4144488763
395	0.4143157912
396	0.4141565747
397	0.4140104948
398	0.4138915615
399	0.4136257838
400	0.4134771915
401	0.4132682124
402	0.413059609
403	0.4128741489
404	0.4127205286
405	0.412607815
406	0.4124774155
407	0.4122342965
408	0.4120290946
409	0.4118687663
410	0.4116462208
411	0.4114484766
412	0.4113214076
413	0.4112282171
414	0.4110836401
415	0.4108400699
416	0.4107028456
417	0.4105385052
418	0.4102914061
419	0.4101434652
420	0.4099816461
421	0.4098372329
422	0.4096816157
423	0.4095505687
424	0.4093333729
425	0.4092142188
426	0.4090203569
427	0.4088558509
428	0.408628674
429	0.4084421229
430	0.4082387361
431	0.4080979817
432	0.4078801975
433	0.4077407202
434	0.4075792128
435	0.4074897758
436	0.4072402253
437	0.4071258335
438	0.4069659085
439	0.4067735486
440	0.4065950723
441	0.4063237619
442	0.4062209577
443	0.4060550847
444	0.4059320547
445	0.4057508546
446	0.4055359816
447	0.4053430877
448	0.4051884445
449	0.4050243163
450	0.4048842784
451	0.4046872935
452	0.4045115611
453	0.404305912
454	0.4041752887
455	0.4040625949
456	0.4039327472
457	0.4037950705
458	0.4036232912
459	0.403355341
460	0.403238911
461	0.4030719114
462	0.40293413
463	0.402810389
464	0.4026545972
465	0.4024887729
466	0.4023978072
467	0.4022877821
468	0.4021387209
469	0.4019213674
470	0.4018153626
471	0.4015559227
472	0.4014221463
473	0.4011399486
474	0.4009564317
475	0.400790009
476	0.4006768456
477	0.4004961056
478	0.400300825
479	0.4001561728
480	0.399905904
481	0.3997060667
482	0.3995337559
483	0.3993949793
484	0.3992416969
485	0.3991099096
486	0.3989385729
487	0.3986445479
488	0.3984980298
489	0.3983517588
490	0.3981683245
491	0.3980593524
492	0.3979254435
493	0.3977781538
494	0.3976467926
495	0.397496399
496	0.3973211532
497	0.3971642082
498	0.3970452765
499	0.3968997717
500	0.3967841386
501	0.3966598719
502	0.39653305
503	0.3964042184
504	0.3962481291
505	0.3961757743
506	0.3960278056
507	0.3959124861
508	0.3957443938
509	0.3956314277
510	0.3954575312
511	0.3953427622
512	0.3952049497
513	0.3950992812
514	0.3950058262
515	0.3948289888
516	0.394715938
517	0.3945769008
518	0.3944200806
519	0.3942940643
520	0.3941849657
521	0.394047344
522	0.3939227212
523	0.3938118328
524	0.3937182123
525	0.3935908078
526	0.3934492911
527	0.3932953878
528	0.3931598967
529	0.3929386039
530	0.3927647326
531	0.3926566024
532	0.3924736501
533	0.3923448988
534	0.3922070324
535	0.3920623317
536	0.3918782203
537	0.3917287332
538	0.3915666291
539	0.3914572935
540	0.391359713
541	0.3912076638
542	0.3910533469
543	0.3908978873
544	0.3907465497
545	0.3906286877
546	0.3905308338
547	0.3904222655
548	0.390327425
549	0.3901909036
550	0.3900539846
551	0.3899353171
552	0.3898279822
553	0.3897246005
554	0.3895358019
555	0.3894134614
556	0.3891954192
557	0.3890971146
558	0.3889688541
559	0.3888395686
560	0.3887383703
561	0.38857469
562	0.3883564549
563	0.3882004534
564	0.3878769589
565	0.387708173
566	0.3875552114
567	0.3874095382
568	0.3873120654
569	0.3872151313
570	0.3869766555
571	0.3867856237
572	0.3866553099
573	0.3864439537
574	0.3863451045
575	0.3861969468
576	0.3860901605
577	0.3859249379
578	0.385775973
579	0.3856771881
580	0.3855859861
581	0.3854233903
582	0.3852885729
583	0.3851664056
584	0.3850391844
585	0.3848708647
586	0.3847057141
587	0.3844388398
588	0.3842935897
589	0.3841619872
590	0.3839986207
591	0.3838921912
592	0.3837110824
593	0.3835845778
594	0.3834304916
595	0.3833091765
596	0.3831998795
597	0.3830736513
598	0.3829574126
599	0.3828693217
600	0.3827336832
601	0.3825818177
602	0.3823846545
603	0.3822256617
604	0.3821331148
605	0.3819663035
606	0.3818680697
607	0.3817580952
608	0.381574736
609	0.3814768488
610	0.381391824
611	0.3812889363
612	0.3811748298
613	0.3810836827
614	0.3809511705
615	0.3808483973
616	0.3807315708
617	0.3805977437
618	0.3805123867
619	0.3803839356
620	0.3801724773
621	0.3800364938
622	0.3799496563
623	0.3798611949
624	0.3797386385
625	0.379627615
626	0.3794922325
627	0.3794089301
628	0.379301656
629	0.3791637621
630	0.3789058105
631	0.3787530896
632	0.3786442064
633	0.3785315015
634	0.3783867477
635	0.3782718354
636	0.3781535081
637	0.3780653012
638	0.3780009528
639	0.3778938594
640	0.3777553087
641	0.3776946892
642	0.3776085478
643	0.3774872071
644	0.3774108746
645	0.3773272613
646	0.3772229165
647	0.376979608
648	0.3768736367
649	0.3767745138
650	0.3766606266
651	0.3765476049
652	0.3764401942
653	0.3763329359
654	0.3762320959
655	0.376124407
656	0.3760497972
657	0.375952209
658	0.3758305056
659	0.3757316684
660	0.3756373938
661	0.3755571551
662	0.3754710426
663	0.3753932808
664	0.3752958456
665	0.375166129
666	0.375039421
667	0.3749555826
668	0.3748515123
669	0.3747547791
670	0.3746811304
671	0.3745618356
672	0.374442147
673	0.3743125162
674	0.3741851309
675	0.3741100436
676	0.3739356468
677	0.3738516949
678	0.3735510277
679	0.3734473782
680	0.3732976037
681	0.3732316708
682	0.3731293026
683	0.3729215746
684	0.3728237834
685	0.3727651846
686	0.3726915909
687	0.3725094762
688	0.3724131035
689	0.3722592989
690	0.3721743066
691	0.3720359031
692	0.3719331715
693	0.371864232
694	0.3717552929
695	0.3716790077
696	0.3715865068
697	0.3714765823
698	0.3713643257
699	0.3712666962
700	0.3711249997
701	0.3709777766
702	0.3708844867
703	0.3707986806
704	0.3706742386
705	0.3704874902
706	0.3703415162
707	0.3702704927
708	0.3701293767
709	0.3700131846
710	0.36989552
711	0.3698088135
712	0.3697151975
713	0.3696480891
714	0.3695639485
715	0.3694441556
716	0.3693134775
717	0.3692024666
718	0.3690900102
719	0.3690076063
720	0.3689463388
721	0.3688655077
722	0.3687364586
723	0.3686778096
724	0.3685867366
725	0.368507498
726	0.3683901079
727	0.3682787854
728	0.3682470499
729	0.3681540945
730	0.3680499805
731	0.3679996217
732	0.3678880113
733	0.3677900049
734	0.3676541894
735	0.3675588328
736	0.3675221354
737	0.3674415826
738	0.3672160001
739	0.3671321306
740	0.3669671667
741	0.3668613478
742	0.3667660328
743	0.3666353407
744	0.3665459108
745	0.3664749501
746	0.3663848581
747	0.3662460681
748	0.3661642677
749	0.3660918319
750	0.3660179936
751	0.3659108937
752	0.3657635733
753	0.3656436008
754	0.3655612226
755	0.3654555346
756	0.3653606376
757	0.3652448873
758	0.3651112331
759	0.3649827948
760	0.3649022625
761	0.3647311136
762	0.3646176771
763	0.3644097901
764	0.364340619
765	0.3642579286
766	0.3641739546
767	0.3640306279
768	0.363892516
769	0.363635625
770	0.363538512
771	0.363417379
772	0.3633028784
773	0.3631960622
774	0.3630780604
775	0.3630139623
776	0.3629089749
777	0.3628225481
778	0.3627214922
779	0.3626149585
780	0.3625416513
781	0.3624689565
782	0.3623807554
783	0.3622937002
784	0.3622222547
785	0.3621247549
786	0.3620617693
787	0.3619520517
788	0.3618309134
789	0.3617500835
790	0.3616669871
791	0.361582884
792	0.3615063054
793	0.3613889107
794	0.3613078977
795	0.3612126822
796	0.3611273201
797	0.3609657889
798	0.3609074289
799	0.3607948993
800	0.3607171409
801	0.360629928
802	0.3605009329
803	0.360376939
804	0.3602933685
805	0.3601613314
806	0.3600832006
807	0.3599797849
808	0.3598999662
809	0.3597697763
810	0.3596581186
811	0.3595702426
812	0.3595029172
813	0.3594081276
814	0.3593077849
815	0.3592361784
816	0.3591443905
817	0.3591113246
818	0.3589790703
819	0.3588524196
820	0.3587250014
821	0.358657625
822	0.3585689151
823	0.3584646524
824	0.3583954026
825	0.3582931302
826	0.3582146981
827	0.3581555192
828	0.3580637769
829	0.3579527189
830	0.3578710077
831	0.3577878229
832	0.357724121
833	0.3575835454
834	0.3574937898
835	0.3572804155
836	0.3571687172
837	0.3570723472
838	0.3569852245
839	0.3568515309
840	0.3567508695
841	0.3566409576
842	0.3565205969
843	0.3564075167
844	0.3563381777
845	0.3562489933
846	0.3561795959
847	0.3560916943
848	0.3560225957
849	0.3559427507
850	0.3557717875
851	0.3556729935
852	0.3555848467
853	0.3554973697
854	0.3554194118
855	0.3553341719
856	0.3552296274
857	0.3551247871
858	0.355008144
859	0.3548825281
860	0.3548172243
861	0.3546367418
862	0.3545489082
863	0.3544476355
864	0.3543301669
865	0.3542473213
866	0.3541719985
867	0.3541218914
868	0.354010711
869	0.3539286092
870	0.3537872868
871	0.3536992587
872	0.3535895085
873	0.3535109882
874	0.3534353252
875	0.3533862924
876	0.3533089452
877	0.3532338005
878	0.3531203006
879	0.3529980618
880	0.3528790702
881	0.3528064748
882	0.3526954297
883	0.3526362248
884	0.3524403618
885	0.3522841668
886	0.3521926355
887	0.352110001
888	0.3520317569
889	0.3519462751
890	0.3518322619
891	0.3517707662
892	0.3516437889
893	0.3515400965
894	0.3514738394
895	0.3513340901
896	0.3511789558
897	0.3510472688
898	0.3508871553
899	0.3508184158
900	0.3507072468
901	0.3505912463
902	0.3504943493
903	0.3504079019
904	0.3503373207
905	0.3502171484
906	0.3501611657
907	0.3500509595
908	0.3499865255
909	0.3499065609
910	0.349817391
911	0.3497650841
912	0.3496420263
913	0.3495422259
914	0.3495016385
915	0.349410268
916	0.349272162
917	0.3491744716
918	0.3490369988
919	0.348935121
920	0.3488573802
921	0.348793556
922	0.348618209
923	0.348525847
924	0.3484284547
925	0.3483515153
926	0.3482474346
927	0.3481365449
928	0.3480722706
929	0.3479732264
930	0.3478896621
931	0.3478005008
932	0.3477117077
933	0.3476331614
934	0.3475413876
935	0.3474371466
936	0.3473663134
937	0.3472248129
938	0.3471974936
939	0.3471335279
940	0.3470648168
941	0.3470038967
942	0.3469419589
943	0.3468827463
944	0.3468110714
945	0.3467511005
946	0.346689882
947	0.3465875335
948	0.3464956617
949	0.3464364143
950	0.3463048097
951	0.3461933424
952	0.3461385575
953	0.3460395369
954	0.3459261322
955	0.3458130218
956	0.3457341277
957	0.3456739498
958	0.3455723528
959	0.3454954864
960	0.3454066446
961	0.3453486153
962	0.3452482109
963	0.3451999951
964	0.3451373418
965	0.3451004466
966	0.3450267401
967	0.3449417102
968	0.3448515974
969	0.3447705201
970	0.3447288107
971	0.3446552369
972	0.3445268168
973	0.3444505743
974	0.344386296
975	0.344327742
976	0.3442097929
977	0.3441196266
978	0.3440543346
979	0.3439739537
980	0.3438854173
981	0.3438104502
982	0.3437109516
983	0.3436198703
984	0.3435239956
985	0.3433996026
986	0.3433265161
987	0.3431442272
988	0.3430493044
989	0.3429680832
990	0.3428502543
991	0.34279515
992	0.3427144531
993	0.3426116465
994	0.3425185724
995	0.3424396325
996	0.3423914421
997	0.3423105774
998	0.3422141659
999	0.3421852737
